timestamp,use_case,app_pkg,app_version,device_model,duration,energy_consumption,power_meter,success,notes
1533982187.272614,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.98132991790771,23.02482657937399,Monsoon,True,
1533982317.10406,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.98164701461792,23.792476301714977,Monsoon,True,
1533982446.896816,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.9491970539093,22.65674546643094,Monsoon,True,
1533982706.246261,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.95801901817322,23.17479893393081,Monsoon,True,
1533982835.832177,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.96881008148193,22.717426573535995,Monsoon,True,
1533982965.706628,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.97801399230957,22.64037599619218,Monsoon,True,
1533983095.1800299,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.95178699493408,23.33977545046697,Monsoon,True,
1533983225.046756,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.958655834198,22.787446628718964,Monsoon,True,
1533983354.664441,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.972323179245,22.738912778389192,Monsoon,True,
1533983484.324786,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.97204923629761,22.98235800584309,Monsoon,True,
1533983614.03071,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.9553771018982,22.62937593440497,Monsoon,True,
1533983743.613534,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.9618489742279,22.55574030994634,Monsoon,True,
1533983877.166354,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.95728993415833,21.951678464194053,Monsoon,True,
1533985648.1317592,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.9683678150177,22.79504646126325,Monsoon,True,
1533985777.6656482,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.96128582954407,22.35709054030816,Monsoon,True,
1533985907.692638,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.95670866966248,22.37531323137155,Monsoon,True,
1533986037.570605,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.97160506248474,22.40758112668556,Monsoon,True,
1533986167.32306,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.97938084602356,22.390935975849942,Monsoon,True,
1533986297.777706,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.9666256904602,22.44624929047483,Monsoon,True,
1533986427.594233,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.99327325820923,22.91887360260543,Monsoon,True,
1533986557.730935,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.94979310035706,22.333254938042877,Monsoon,True,
1533986687.324234,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.96828103065491,22.1857974071154,Monsoon,True,
1533986817.476903,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.97885608673096,22.91197120570449,Monsoon,True,
1533986947.010507,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.98642373085022,22.574868600427514,Monsoon,True,
1533987076.662689,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.96958994865417,22.42644057271012,Monsoon,True,
1534783304.046585,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.97500991821289,23.01933036645511,Monsoon,True,
1533987206.265533,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.98294973373413,23.097133967058813,Monsoon,True,
1534937689.8307788,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.99223184585571,21.699201227523922,Monsoon,True,
1534937819.928986,idle_time,com.tqrg.physalia.testapp,0.01,Nexus 5X,119.97225713729858,22.48619149637627,Monsoon,True,
