timestamp,use_case,app_pkg,app_version,device_model,duration,energy_consumption,power_meter,success,notes
1534419240.26289,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,17.78721523284912,10.000438587378117,Monsoon,True,
1534419278.794556,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,15.77033019065857,12.07237254499207,Monsoon,True,
1534419322.1850328,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,15.444530963897705,9.642880363592134,Monsoon,True,
1534419370.7035892,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,13.007859945297241,5.2244935402247625,Monsoon,True,
1534419397.456649,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,14.095818996429443,5.933592894692743,Monsoon,True,
1534419424.76142,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,12.873646020889282,5.252950871099613,Monsoon,True,
1534419455.4685109,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,13.883892059326172,5.545263803559939,Monsoon,True,
1534419482.710613,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,14.85534119606018,5.786335888926629,Monsoon,True,
1534419509.918837,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,11.931258201599121,4.9400216599353195,Monsoon,True,
1534419599.595956,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,12.277132987976074,5.508283201004746,Monsoon,True,
1534419624.133166,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,13.786226034164429,5.661958308995409,Monsoon,True,
1534419697.472337,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,12.29979395866394,4.970699874358283,Monsoon,True,
1534419720.8351092,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,11.162040710449219,4.68867693082508,Monsoon,True,
1534419751.820982,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,15.754800796508789,6.391935586224682,Monsoon,True,
1534419780.537863,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,13.663493156433105,5.5330534861729035,Monsoon,True,
1534419805.905494,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,13.413305044174194,5.492604815864795,Monsoon,True,
1534419834.448894,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,12.617556095123291,5.168312906853723,Monsoon,True,
1534419862.4095008,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,13.106703042984009,5.48708417777463,Monsoon,True,
1534419895.195955,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,11.48633098602295,4.562387393522682,Monsoon,True,
1534419928.859895,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,14.441097021102905,6.204281749763069,Monsoon,True,
1534419956.9617212,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,13.251428842544556,5.414613760492119,Monsoon,True,
1534419998.503068,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,13.144330024719238,4.778675468055097,Monsoon,True,
1534420026.078399,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,9.697831869125366,4.0298521561092215,Monsoon,True,
1534420066.6748888,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,9.556497812271118,4.147583562993848,Monsoon,True,
1534420093.74978,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,11.370484828948975,4.605879605808977,Monsoon,True,
1534420163.962816,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,10.677490949630737,4.39644008166445,Monsoon,True,
1534420284.07159,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,13.136225938796997,5.139331952816575,Monsoon,True,
1534420317.44211,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,11.906473159790039,4.5383387483688855,Monsoon,True,
1534420340.5977979,tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,10.941273212432861,4.67197923107815,Monsoon,True,
1534430487.4465039,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,36.44210696220398,13.61740764100673,Monsoon,True,
1534430711.437668,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,38.85274696350098,14.973974468488372,Monsoon,True,
1534430760.883758,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,37.26981282234192,15.29278479545987,Monsoon,True,
1534430979.637571,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,42.79033923149109,16.408294794543078,Monsoon,True,
1534431084.059422,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,45.36719274520874,17.43431560543228,Monsoon,True,
1534431365.333431,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,39.03702187538147,15.555160988220146,Monsoon,True,
1534431425.240051,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,40.423336029052734,15.61617837352187,Monsoon,True,
1534431482.484354,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,39.95291805267334,16.147061502192734,Monsoon,True,
1534431534.434462,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,40.11021018028259,16.633825398570263,Monsoon,True,
1534431932.680253,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,41.39645791053772,16.535981614584173,Monsoon,True,
1534432089.1992168,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,35.047611713409424,14.662491079137759,Monsoon,True,
1534432386.9613981,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,30.788721084594727,12.445486384063079,Monsoon,True,
1534432454.713662,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,32.51605415344238,13.714387368650831,Monsoon,True,
1534432504.01546,long_tap,com.tqrg.physalia.testapp,0.01,Nexus 5X,30.694479942321777,12.251838353761928,Monsoon,True,
